smiles,cal_solv_free
CCc1cc(C)oc(=O)c1,-9.216992382
O=C1CCc2ccccc2C1,-7.621956089
Cc1nsnc1/C=N\O,-8.230471361
Cc1c(N)nc(O)nc1O,-17.31208474
Nc1nncc(O)n1,-12.32952983
O=C1Cc2ccccc2O1,-7.797514561
CC(=O)Nc1cccnc1,-12.19125173
C#CCNC(=O)c1ccc[nH]1,-12.43716035
CCn1ncc(N=O)c1N,-13.4458764
NCCc1cccnc1,-8.788083022
Oc1ccc2c(c1)CCO2,-8.31796508
Cc1ccc(N)cc1C,-6.720556799
Cc1ccccc1CCN,-6.865875565
O=CNc1ncn[nH]1,-12.67737118
N[C@@H]1C[C@@H]1c1ccccc1,-6.566515644
NNC(=O)c1c[nH]cn1,-24.90648058
C1=Cc2ccccc2C1,-3.760780382
C[C@@H](N)Cc1ccccc1,-6.890386105
CN(C)c1ccc(N)cc1,-8.101969863
Cc1cc(Cl)ccc1O,-6.678406952
COc1cnccn1,-5.333031787
Cn1c(N)cc(=O)nc1N,-26.08264768
NCCc1ccc(O)cc1,-10.52464792
CC(C)c1cccc(O)c1,-6.9763236
CCc1cccc(O)c1,-6.759462419
[N-]=[N+]=Nc1ccc(F)cc1,-4.709481375
O=C(O)c1cccc(O)c1,-11.25222067
NC(=O)c1ccc(N)nc1,-16.01210364
c1ccc2c(c1)OCCO2,-5.707931362
NCc1ccccc1Cl,-7.049692069
Cc1cc(C)c(O)c(C)c1,-6.129247851
Cn1cc(F)ccc1=N,-8.651310942
COc1[nH]ncc1C(=O)O,-15.62220031
c1ccc2c(c1)CCCN2,-5.46531717
O=C(O)/C=C/c1ccncc1,-10.71150157
O=C(O)Cc1c[nH]cn1,-15.64353565
Cc1cnc(C)c(C)n1,-5.669785029
NCCc1ccccn1,-8.236150326
O=C(O)c1cc[nH]n1,-13.19081868
CN[C@@H](C)Cc1ccccc1,-6.211282233
NC(=O)c1cccc(N)c1,-14.01612611
Nc1cc(O)nc(S)n1,-11.6780615
C[C@H](N)Cc1ccccc1,-6.86593204
Cc1nccnc1C,-5.610315906
CC(=O)n1ccnc1,-9.528488346
N[C@@H]1C[C@H]1c1c[nH]cn1,-12.81184029
CCc1nnc(S)[nH]1,-14.46256183
Oc1ncccn1,-8.427189471
CCCn1ccnc1,-8.598286347
OCCc1ccc(O)cc1,-10.00695217
Oc1cccc2c1CCNC2,-8.793008975
Cc1ccccc1C=O,-6.299623091
CCc1cnc(N)cc1C,-8.430013266
O=C(O)c1nn[nH]c1Cl,-14.33660802
Nc1ccc(N)cc1,-9.976932092
Nc1ccccc1N,-8.831180409
Nc1c(O)cccc1O,-11.14935923
C1CCc2nnnn2CC1,-11.88003815
Oc1cc(O)c(F)cc1F,-12.30152406
COc1ccc(OC)cc1,-6.140041023
N=C(N)NCc1ccccc1,-14.20816927
NC/C=C/c1c[nH]cn1,-13.68528401
C=C(CN)c1ccsc1,-6.617632609
O=C1CCc2ccccc2N1,-9.682291047
c1ccccc1,-2.829712419
Nc1ccccn1,-7.637210857
NNC(=O)c1ccncc1,-16.56906269
Cc1cccc(F)c1,-3.57866443
CC(C)Nc1ccccc1,-5.757674079
O=C(O)c1ccc(F)cc1,-7.696993734
O=C(O)c1ccc(O)cc1,-11.26435043
C1=CNC(c2ccncc2)N1,-10.48539717
C[S+]([O-])c1ccccc1,-9.217004932
C[C@@H](N)Cc1c[nH]cn1,-12.6022394
CCn1oc(C)cc1=O,-9.184424613
O=C(O)c1ccccc1,-7.520952079
CC(=O)c1ccccc1,-6.538553798
C=C(CN)c1ccoc1,-7.997326295
Cn1ccccc1=O,-9.123625169
Cc1cssc1=S,-6.284437349
NCc1cccc(F)c1,-6.5276665
NCCc1cnc(N)s1,-11.89815436
C1=C(c2cccnc2)CNC1,-8.264689481
C1=C(c2ccncc2)CNC1,-8.493774557
N[11C](=O)c1cnccn1,-10.24949106
CNC(C)Cc1ccccc1,-5.723073178
Cc1cocc1CCCO,-8.044132266
CCc1nccnc1CC,-5.592632674
COc1cccc(C=O)c1,-7.549773613
O=[N+]([O-])c1ncc[nH]1,-11.61440061
CC(=O)Nc1ccc(C)cc1,-9.775219003
CCn1ccnc1/C=N/O,-13.96231085
CC(=O)Nc1ccccc1C,-8.761551899
CNCCCc1ccccc1,-6.16086808
C#CCN(C)Cc1ccc[nH]1,-8.155396064
C1=C(c2cccnc2)NCC1,-7.333671719
NCCc1ccccc1F,-7.057171988
Cc1ccc2c(c1)CNCC2,-5.664281766
Nc1cc(O)ncc1F,-13.5214286
c1ccc(C2CCCN2)cc1,-5.549648239
O=C1NCCc2ccncc21,-12.14627181
CCc1ccc(C#N)cc1,-7.28101108
Cc1cccn(O)c1=S,-8.017538393
CCc1ccccc1O,-6.121836958
Cn1cncc1CCN,-10.61617025
OC1Cc2ccccc2N1,-9.258621395
Oc1nc(O)nc(O)n1,-14.51082989
O=Cc1cocn1,-7.352001287
Cc1ccc2c(c1)NCCO2,-7.166465405
Cn1cnc(C#N)c1N,-16.86817161
Cc1cc(O)nc(NN)n1,-13.81932642
NCCCCc1ccccc1,-7.178613998
Cc1nc[nH]c1CCN,-12.82570199
Nc1nccn1CC(=O)O,-15.70898494
Cc1ccc(C)c(C)c1,-3.837738208
N=C(N)c1ccc(O)cc1,-14.57019234
Nc1n[nH]c(N)n1,-16.6476395
Cn1cccc(C#N)c1=N,-16.18424846
